YEAR,INSTNM,CITY,STATE,COUNTRY,INST_TYPE,NT_TUT_REV,INST_EXP,AVG_FAC_SAL,TS,TS_MEN,TS_WOM,TS_MAR,TS_DPEN,TS_VET,TS_PT,ST_FI_LO,ST_FI_M1,ST_FI_M2,ST_FI_H1,ST_FI_H2,HL_ED_MS,HL_ED_HS,HL_ED_PS,CPR
2010,Baldwin Wallace University,Berea,Ohio,United States,Private,10048,5995,5931,3285,0.4496,0.5504,0.063829787,0.832446809,0.009308511,0.0755,0.158909575,0.11768617,0.203457447,0.255319149,0.26462766,0.009034051,0.391938846,0.599027102,0.6535
2010,Capital University,Columbus,Ohio,United States,Private,13660,8946,5150,2608,0.3643,0.6357,0.100472016,0.68779501,0.022252192,0.2561,0.239379636,0.166554282,0.201618341,0.191503709,0.200944032,0.021754895,0.390137781,0.588107324,0.6793
2010,Malone University,Canton,Ohio,United States,Private,8247,3181,4709,1789,0.3997,0.6003,0.180265655,0.689753321,0.031309298,0.0654,0.164136622,0.135673624,0.244781784,0.249525617,0.205882353,0.017928287,0.427290837,0.554780877,0.4877
2010,Mount Vernon Nazarene University,Mount Vernon,Ohio,United States,Private,9449,6223,4931,1975,0.4289,0.5711,0.258647799,0.567610063,0.040880503,0.0486,0.155660377,0.174528302,0.245283019,0.242138365,0.182389937,0.028949545,0.4681555,0.502894955,0.5119
2010,Xavier University,Cincinnati,Ohio,United States,Private,9656,5910,6290,3786,0.416,0.584,0.07361516,0.80393586,0.018950437,0.1165,0.158892128,0.121720117,0.133381924,0.193877551,0.39212828,0.008371385,0.264840183,0.726788432,0.7464
2010,Oklahoma City University,Oklahoma City,Oklahoma,United States,Private,7135,5342,5599,1827,0.4067,0.5933,0.136764706,0.679411765,0.044117647,0.1669,0.308823529,0.157352941,0.177941177,0.163235294,0.192647059,0.018720749,0.304212169,0.677067083,0.4972
2010,Oral Roberts University,Tulsa,Oklahoma,United States,Private,9532,2636,4308,3244,0.4162,0.5838,0.091194969,0.806918239,0.021383648,0.1215,0.300628931,0.167924528,0.196855346,0.179245283,0.155345912,0.02455209,0.298606503,0.676841407,0.5174
2010,George Fox University,Newberg,Oregon,United States,Private,11013,6286,5357,1635,0.4159,0.5841,0.189277899,0.693654267,0.05142232,0.2,0.190371991,0.148796499,0.218818381,0.239606127,0.202407002,0.01241535,0.264108352,0.723476298,0.536
2010,Oregon State University,Corvallis,Oregon,United States,Public,4739,6384,6417,14607,0.5345,0.4655,0.079112398,0.779224956,0.026049204,0.0871,0.288631613,0.129281235,0.18025406,0.182666024,0.219167069,0.015564202,0.292336322,0.692099476,0.5833
2010,DeSales University,Center Valley,Pennsylvania,United States,Private,8150,5142,5168,2017,0.4546,0.5454,0.145641026,0.670769231,0.031794872,0.2454,0.203076923,0.10974359,0.165128205,0.241025641,0.281025641,0.018299247,0.419806243,0.56189451,0.5799
2010,Alvernia University,Reading,Pennsylvania,United States,Private,8722,3889,4855,1472,0.3308,0.6692,0.186597938,0.582474227,0.026804124,0.2514,0.288659794,0.165979381,0.16185567,0.211340206,0.172164949,0.052691867,0.510882016,0.436426117,0.52
2010,Gwynedd Mercy University,Gwynedd Valley,Pennsylvania,United States,Private,11318,4566,5413,1666,0.2299,0.7701,0.204935622,0.560085837,0.03111588,0.434,0.2027897,0.168454936,0.189914163,0.199570816,0.239270386,0.037209302,0.513953488,0.448837209,0.7
2010,Holy Family University,Philadelphia,Pennsylvania,United States,Private,16248,8654,5318,1720,0.2238,0.7762,0.141562854,0.665911665,0.012457531,0.3802,0.218573046,0.167610419,0.186862967,0.228765572,0.198187996,0.031476998,0.581113802,0.387409201,0.6929
2010,Immaculata University,Chester,Pennsylvania,United States,Private,7046,3840,4413,1939,0.1429,0.8571,0.298550725,0.379710145,0.024637681,0.7375,0.207246377,0.185507246,0.176811594,0.207246377,0.223188406,0.031695721,0.45800317,0.510301109,0.6484
2010,Lock Haven University,Lock Haven,Pennsylvania,United States,Public,4904,4689,6746,1979,0.4138,0.5862,0.059921415,0.859528487,0.016208252,0.0667,0.224950884,0.127701375,0.222986248,0.235265226,0.189096267,0.017726799,0.489051095,0.493222106,0.4857
2010,Mercyhurst University,Erie,Pennsylvania,United States,Private,8242,5040,4637,3153,0.3822,0.6178,0.103030303,0.764646465,0.025757576,0.1231,0.239393939,0.127777778,0.164646465,0.239393939,0.228787879,0.020607375,0.382321041,0.597071584,0.6287
2010,Misericordia University,Dallas,Pennsylvania,United States,Private,21258,12629,5335,1726,0.2619,0.7381,0.143812709,0.672240803,0.014492754,0.3036,0.24303233,0.134894091,0.185061316,0.227424749,0.209587514,0.017667845,0.431095406,0.551236749,0.6714
2010,Clemson University,Clemson,South Carolina,United States,Public,5397,6104,7431,13866,0.5471,0.4529,0.036630037,0.901883831,0.012297227,0.0554,0.184720042,0.105180534,0.158032444,0.214809001,0.33725798,0.008387446,0.236742424,0.75487013,0.6886
2010,Winthrop University,Rock Hill,South Carolina,United States,Public,4123,4304,5292,4362,0.3061,0.6939,0.066346154,0.833653846,0.017788462,0.08,0.246153846,0.155288462,0.187980769,0.202403846,0.208173077,0.012703252,0.331300813,0.655995935,0.553
2010,South Dakota State University,Brookings,South Dakota,United States,Public,3544,4913,5715,7250,0.4879,0.5121,0.069113314,0.841146531,0.020358961,0.1317,0.219126708,0.169568712,0.236538977,0.251272435,0.123493169,0.010820046,0.328302961,0.660876993,0.5202
